Q5773747	historic_house_2770
Q1081138	historic_site_2325
Q35112127	historic_building_1262
Q2087181	historic_house_museum_1051
Q839954	archaeological_site_9619
Q17524420	aspect_of_history_6051
Q3024240	historical_country_2605
Q13417114	noble_family_1556
Q465299	archaeological_culture_660
Q358	heritage_site_1116
Q164950	dynasty_729
Q899409	gens_679
Q188913	plantation_748
Q113813711	coin_type_739
Q19953632	former_administrative_territorial_entity_1394
Q64578911	former_hospital_1192
Q22674925	former_settlement_1047
Q15893266	former_entity_859
