Q27020041	sports_season_98778
Q1539532	sports_season_of_a_sports_club_19494
Q13406554	sports_competition_5521
Q847017	sports_club_5347
Q1076486	sports_venue_5152
Q623109	sports_league_3344
Q18558301	college_sports_team_3291
Q2485448	sports_governing_body_2183
Q50846468	sports_tour_2071
Q12973014	sports_team_2057
Q15229207	sports_award_834
Q4438121	sports_organization_689
Q16510064	sporting_event_26394
Q51031626	sport_competition_at_a_multi-sport_event_5934
Q29791211	sport_in_a_geographic_region_1654
Q2338524	motorsport_racing_track_730
Q46190676	tennis_event_19509
Q17317604	professional_wrestling_event_2124
Q18536800	mixed_martial_arts_event_1102
Q57733494	badminton_event_1027
Q2122052	qualification_event_1778
Q26895936	american_football_team_season_24019
Q26894053	basketball_team_season_11392
Q13393265	basketball_team_4354
Q26896697	baseball_team_season_3992
Q13027888	baseball_team_3573
Q4498974	ice_hockey_team_3381
Q27020779	ice_hockey_team_season_2686
Q14645593	rugby_union_team_1557
Q17156793	american_football_team_1545
Q17376093	cricket_team_877
Q20074337	auto_racing_team_742
Q10517054	handball_team_711
Q43009164	rugby_union_club_710
Q15720476	volleyball_team_660
Q47345468	tennis_tournament_edition_10116
Q2990946	golf_tournament_1308
Q17299750	snooker_tournament_1303
Q500834	tournament_1032
Q1079023	championship_2579
Q1366722	final_1876
Q3001412	horse_race_2949
Q2990963	figure_skating_competition_1591
Q2922711	bowl_game_1375
Q27889498	boxing_match_823
Q2992826	athletic_conference_983
Q62391930	beauty_pageant_edition_2165
Q58863414	female_beauty_pageant_926
Q1194951	national_sports_team_806
Q46351685	national_basketball_team_753
