Q54050	hill
Q8502	mountain
Q30612	clinical_trial
Q2996394	biological_process
Q5	human
Q101352	family_name
Q523	star
Q318	galaxy
Q3863	asteroid
Q2247863	high_proper-motion_star
Q1457376	eclipsing_binary_star
Q1931185	astronomical_radio_source
Q2668072	collection
Q2342494	collectable
Q3511132	series
Q16521	taxon
Q7187	gene
Q8054	protein
Q420927	protein_complex
Q20747295	protein-coding_gene
Q113145171	type_of_chemical_entity
Q59199015	group_of_stereoisomers
Q47461807	candidate_set
Q41207	coin
Q113813711	coin_type
Q7889	video_game
Q11424	film
Q21191270	television_series_episode
Q482994	album
Q59191021	albums_discography
Q105543609	musical_work_composition
Q3305213	painting
Q47461344	written_work
Q3331189	version,_edition_or_translation
Q2782326	case_report
Q871232	editorial
Q7725634	literary_work
Q13433827	encyclopedia_article
Q19389637	biographical_article
Q13442814	scholarly_article
Q17633526	wikinews_article
Q486972	human_settlement
Q532	village
Q79007	street
Q39614	cemetery
Q4830453	business
Q43229	organization
Q23397	lake
Q4022	river
Q355304	watercourse
Q47521	stream
Q41176	building
Q811979	built_structure
Q3947	house
Q16970	church
Q9842	elementary_school
Q1080794	public_school
Q1241025	research_group
Q180958	faculty
Q2467461	academic_department
Q27020041	sports_season
Q16510064	sporting_event
Q13406554	sports_competition
Q53945096	group_during_sports_competition
Q18536594	olympic_sporting_event
Q43305660	United_States_patent
Q47150325	calendar_day_of_a_given_year
Q13100073	village_of_the_peoples_republic_of_china
Q11266439	wikimedia_template
Q13406463	wikimedia_list_article
Q4167410	wikimedia_disambiguation_page
Q4167836	wikimedia_category
