Q15243209	historic_district_9186
Q398141	school_district_6052
Q104146934	united_states_of_america_state-level_electoral_district_3001
Q15125752	rural_district_of_iran_2793
Q2179958	district_of_peru_1846
Q2198484	municipal_district_1777
Q15726209	school_district_in_the_united_states_1372
Q11353	district_of_iran_1208
Q986065	subdistrict_1180
Q17202187	federal_electoral_district_of_canada_1177
Q1065118	district_1001
Q690840	district_of_ethiopia_828
Q1149652	district_of_india_808
Q1147395	district_of_turkey_743
Q17166756	united_states_congressional_district_686
Q192287	administrative_divisions_of_russia_3769
Q18524218	canton_of_france_1958
Q184188	canton_of_france_706
Q2151232	townland_1608
Q15642541	human-geographic_territorial_entity_1513
Q18691601	ward_of_tanzania_1116
Q3812392	union_council_of_bangladesh_1100
Q2592651	union_council_of_pakistan_1035
Q104841013	hromada_693
Q777120	borough_of_pennsylvania_976
Q192611	riding_4130
Q1639634	local_government_area_of_nigeria_767
Q2755753	area_of_london_700
Q1131296	freguesia_of_portugal_1200
Q1077097	tambon_924
Q2983893	quarter_917
Q3700011	kecamatan_910
Q475061	amphoe_876
Q1195098	ward_818
Q62049	county_seat_1905
Q64037785	county_courthouse_1402
Q1289426	county_1316
Q589282	wards_and_electoral_divisions_of_the_united_kingdom_2042
