Q43229	organization_29982
Q163740	nonprofit_organization_13997
Q708676	charitable_organization_3224
Q79913	non-governmental_organization_1351
Q783794	company_9942
Q6881511	enterprise_8916
Q4830453	business_60100
Q178790	trade_union_3136
Q157031	foundation_713
Q955824	learned_society_829
Q732717	law_enforcement_agency_1123
Q613142	law_firm_674
Q740752	transport_company_781
Q431289	brand_2475
Q22687	bank_1443
Q1589009	privately_held_company_1221
Q658255	subsidiary_732
Q786820	car_manufacturer_1963
Q31855	research_institute_3031
Q1664720	institute_773
Q167270	trademark_1562
Q18534542	restaurant_chain_799
Q16323605	food_brand_662
Q891723	public_company_7812
Q48204	voluntary_association_1228
Q15911314	association_1193
Q2178147	trade_association_686
Q829080	professional_association_675
Q484652	international_organization_825
Q4287745	medical_organization_784
