Q7278	political_party_16078
Q7210356	political_organization_968
Q12909644	political_ideology_776
Q327333	government_department_7962
Q15238777	legislative_term_2514
Q640506	cabinet_947
Q192350	ministry_726
Q131569	treaty_1639
Q15221623	bilateral_relation_4969
Q19571328	electoral_result_2018
Q355567	royal_or_noble_rank_2377
Q18759100	baronetcy_2346
Q877358	united_nations_security_council_resolution_2245
Q49773	social_movement_680
Q820655	statute_1078
Q2334719	legal_case_8120
Q2135465	legal_term_or_legal_concept_865
Q273120	protest_901
Q105774620	public_general_act_of_the_parliament_of_the_united_kingdom_1890
Q294414	public_office_1654
Q19692072	united_states_supreme_court_decision_3180
Q27971968	constituency_of_the_parliament_of_the_united_kingdom_2078
Q476068	act_of_congress_in_the_united_states_1811
