Q728937	railway_line_7223
Q4312270	railway_station_above_ground_4466
Q249556	railway_company_2616
Q4663385	former_railway_station_1729
Q4346602	passenger_railway_station_1377
Q1210334	railway_bridge_1006
Q55491	underground_railway_station_814
Q11606300	terminal_railway_station_773
Q2142091	over-track_railway_station_700
Q928830	metro_station_12125
Q22808403	underground_station_8488
Q22808404	station_located_on_surface_6610
Q11670533	elevated_station_3567
Q85882206	unmanned_station_2820
Q121844689	contracted_station_845
Q1147171	interchange_station_866
Q2175765	tram_stop_2838
Q15079663	rapid_transit_line_881
Q332496	overtaking_station_852
Q10438042	bus_company_1554
Q494829	bus_station_1053
Q3240003	bus_route_856
Q55488	train_station_41634
Q15141321	train_service_1388
Q91908084	passenger_train_service_1320
Q1078765	train_wreck_661
Q19832486	locomotive_class_4294
Q811704	rolling_stock_class_1951
