Q16521	taxon_478877
Q23038290	fossil_taxon_21612
Q113145171	type_of_chemical_entity_21412
Q7187	gene_12198
Q310890	monotypic_taxon_5620
Q65943	theorem_2208
Q12089225	mineral_species_1730
Q47487597	monotypic_fossil_taxon_756
Q8054	protein_1652
Q417841	protein_family_1051
Q24034552	mathematical_concept_1857
Q11862829	discipline_1821
Q4886	cultivar_745
Q8436	family_1968
Q47154513	structural_class_of_chemical_entities_1548
Q976981	formula_885
Q26401003	individual_animal_760
Q726	horse_6234
Q28920044	positive_integer_1197
Q50707	composite_number_962
Q958314	grape_variety_673
Q112193867	class_of_disease_4833
Q112826905	class_of_anatomical_entity_2482
Q12136	disease_1447
Q929833	rare_disease_1319
Q112965645	symptom_or_sign_657
Q55788864	developmental_defect_during_embryogenesis_736
