Q15243209	historic_district_9186
Q398141	school_district_6052
Q104146934	united_states_of_america_state-level_electoral_district_3001
Q15125752	rural_district_of_iran_2793
Q2179958	district_of_peru_1846
Q2198484	municipal_district_1777
Q15726209	school_district_in_the_united_states_1372
Q11353	district_of_iran_1208
Q986065	subdistrict_1180
Q17202187	federal_electoral_district_of_canada_1177
Q1065118	district_1001
Q690840	district_of_ethiopia_828
Q1149652	district_of_india_808
Q1147395	district_of_turkey_743
Q17166756	united_states_congressional_district_686
