Q5	human_2106826
Q16521	taxon_478877
Q482994	album_158956
Q115595777	taxonomy_template_117343
Q486972	human_settlement_86657
Q101352	surname_72216
Q4830453	business_60100
Q134556	single_52505
Q4022	river_40856
Q43229	organization_29982
Q3863	asteroid_29813
Q18340514	events_in_a_specific_year_or_time_period_28301
Q16510064	sporting_event_26394
Q34442	road_26049
Q16970	church_24738
Q26895936	american_football_team_season_24019
Q14350	radio_station_23513
Q23038290	fossil_taxon_21612
Q113145171	type_of_chemical_entity_21412
Q41176	building_20074
Q46190676	tennis_event_19509
Q5084	hamlet_16224
Q47461344	written_work_14178
Q3947	house_14113
Q163740	nonprofit_organization_13997
Q23397	lake_13038
Q23442	island_12492
Q7187	gene_12198
Q123705	neighbourhood_12197
Q928830	metro_station_12125
Q1248784	airport_11999
Q15632617	fictional_human_11849
Q11446	ship_11760
Q26894053	basketball_team_season_11392
Q178561	battle_11383
Q498162	census-designated_place_11372
Q1115575	civil_parish_11316
Q3257686	locality_11161
Q3305213	painting_10171
Q47345468	tennis_tournament_edition_10116
Q783794	company_9942
Q3918	university_9857
Q169930	extended_play_9795
Q33506	museum_9632
Q839954	archaeological_site_9619
Q74817647	aspect_in_a_geographic_region_9423
Q41298	magazine_9117
Q11032	newspaper_9075
Q6881511	enterprise_8916
Q4164871	position_8662
Q22808403	underground_station_8488
Q618779	award_8465
Q12308941	male_given_name_8183
Q2334719	legal_case_8120
Q327333	government_department_7962
Q17051044	mahalle_7955
Q7366	song_7766
Q4504495	award_ceremony_7761
Q5633421	scientific_journal_7530
Q3231690	car_model_7455
Q188509	suburb_7372
Q34770	language_7275
Q22808404	station_located_on_surface_6610
Q16917	hospital_6553
Q736917	geological_formation_6337
Q726	horse_6234
Q1002697	periodical_6230
Q35127	website_6216
Q1288568	modern_language_6098
Q17524420	aspect_of_history_6051
Q51031626	sport_competition_at_a_multi-sport_event_5934
Q22698	park_5827
Q56061	administrative_territorial_entity_5721
Q310890	monotypic_taxon_5620
Q18127	record_label_5616
Q47150325	calendar_day_of_a_given_year_5521
Q483110	stadium_5519
Q47521	stream_5487
Q473972	protected_area_5386
Q811979	built_structure_5377
Q1656682	event_5325
Q7397	software_5253
Q23413	castle_4983
Q15221623	bilateral_relation_4969
Q27686	hotel_4835
Q21198342	manga_series_4733
Q11879590	female_given_name_4648
Q94993988	commercial_traffic_aerodrome_4615
Q46970	airline_4359
Q13393265	basketball_team_4354
Q79007	street_4341
Q1114461	comics_character_4319
Q537127	road_bridge_4254
Q12323	dam_4169
Q1190554	occurrence_4166
Q15261477	gubernatorial_election_4159
Q192611	riding_4130
Q26896697	baseball_team_season_3992
Q11707	restaurant_3865
Q860861	sculpture_3825
Q24354	theatre_3809
Q4671277	academic_institution_3804
Q192287	administrative_divisions_of_russia_3769
Q11315	shopping_centre_3697
Q4845841	settlement_3689
Q13027888	baseball_team_3573
Q11670533	elevated_station_3567
Q341	free_software_3515
Q1573906	concert_tour_3496
Q18711811	map_data_module_3493
Q67206785	near-ir_source_3451
