Q4167836	wikimedia_category_2208667
Q4167410	wikimedia_disambiguation_page_347983
Q11266439	wikimedia_template_221950
Q13406463	wikimedia_list_article_147518
Q22808320	wikimedia_human_name_disambiguation_page_62041
Q11753321	wikimedia_navigational_template_25822
Q23894233	wikimedia_templates_category_18821
Q24046192	wikimedia_category_of_stubs_14912
Q59541917	wikimedia_topic_category_13351
Q56428020	wikimedia_lists_category_10883
Q15647814	wikimedia_administration_category_10404
Q14204246	wikimedia_project_page_9580
Q26267864	wikimedia_kml_file_9529
Q98645843	wikimedia_music-related_list_6858
Q17442446	wikimedia_internal_item_5068
Q108783631	wikimedia_country_data_template_4914
Q106612246	wikimedia_albums-by-performer_category_4416
Q17146139	wikimedia_route_diagram_4261
Q125101059	wikimedia_soft_redirect_category_4006
Q125101257	wikimedia_category_of_redirects_3799
Q104635718	wikimedia_artist_discography_3646
Q67131190	wikimedia_tracking_category_3562
Q20010800	wikimedia_user_language_category_3310
Q15623926	wikimedia_set_index_article_3076
Q30432511	wikimedia_meta_category_3002
Q63032896	wikimedia_list_of_fictional_characters_2923
Q15184295	wikimedia_module_2568
Q15407973	wikimedia_disambiguation_category_2546
Q13331174	wikimedia_navboxes_category_2247
Q19842659	wikimedia_user_language_template_1848
Q19887878	wikimedia_infobox_template_1708
Q30330522	wikimedia_unknown_parameters_category_1394
Q18340550	wikimedia_timeline_1376
Q20769287	wikimedia_user_category_1343
Q112869585	wikimedia_stub_template_920
Q20769160	wikimedia_userbox_template_913
Q26884324	wikimedia_outline_article_799
Q106575300	wikimedia_albums-by-genre_category_772
Q107285679	wikimedia_navigational_template_for_sports_team_squad_753
Q80096233	wikimedia_information_list_753
Q66715753	wikimedia_list_of_persons_by_position_held_669
