Q1028181	painter_49274
Q1281618	sculptor_12960
Q33231	photographer_14404
Q644687	illustrator_8100
Q266569	animator_2127
Q11569986	printmaker_4150
Q329439	engraver_1444
Q10862983	etcher_1061
Q1114448	cartoonist_2458
Q3658608	caricaturist_969
Q715301	comicsartist_3651
Q11892507	comicswriter_709
Q191633	mangaka_990
Q17098559	penciller_519
Q7541856	ceramicist_1262
Q3303330	calligrapher_749
Q6138343	woodcarver_294
Q2865798	glassartist_351
Q3374326	muralist_455
Q739437	posterartist_301
Q1925963	graphicartist_3124
Q627325	graphicdesigner_1948
Q3391743	visualartist_5356
Q18074503	installationartist_1487
Q21550489	conceptualartist_523
Q6934789	multimediaartist_369
Q18216771	videoartist_1655
Q21477194	contemporaryartist_415
Q21600439	landscapepainter_341
Q16947657	lithographer_1435
Q13365770	copperengraver_555
Q107212688	exlibrist_507
Q15296811	draftsperson_5676
Q15977927	arteducator_467
Q10732476	artcollector_2648
Q173950	artdealer_809
Q674426	curator_2851
Q780596	exhibitioncurator_911
Q5697103	antiquarian_506
Q998628	illuminator_309
Q3148760	botanicalillustrator_506
Q5322166	designer_4694
Q3501317	fashiondesigner_2739
Q2133309	interiordesigner_582
Q11455387	furnituredesigner_403
Q10694573	textileartist_627
Q437512	weaver_281
Q211423	goldsmith_403
Q2216340	silversmith_279
Q336221	jeweler_257
Q2519376	jewellerydesigner_515
Q1229025	typographer_493
Q22343478	collagist_280
Q487596	dramaturge_756
Q1776724	theatremanager_513
Q1759246	theatricalproducer_398
Q943995	impresario_366
Q483501	artist_14960
Q17505902	watercolorist_861
Q2145981	restorer_252
Q175151	printer_925
Q12859263	orator_483
Q713223	artist_in_residence_6
Q85743216	artist_sassistant_1
Q57174272	artist_curator_1
