Q1622272	universityteacher_61995
Q37226	teacher_14714
Q121594	professor_4811
Q974144	educator_3026
Q1231865	educationist_3518
Q1056391	headteacher_868
Q182436	librarian_3939
Q462390	docent_459
Q1569495	lecturer_1030
Q9379869	lecturer_628
Q2449921	dramateacher_303
Q2675537	musicteacher_347
Q16145150	musiceducator_5990
Q5758653	secondaryschool_teacher_655
Q21281706	academicadministrator_1273
Q48072011	businesstheorist_260
Q15319501	socialscientist_634
Q10333969	museologist_253
Q635734	archivist_1072
Q48282	student_635
Q7019111	socialworker_1682
Q2251335	schoolteacher_829
Q11333691	scholarof_french_literature_21
Q47489253	scholarof_the_bible_as_literature_7
Q11322489	scholarof_german_literature_5
Q16999353	scholarof_piyyut_4
Q104421445	scholarof_native_american_studies_3
Q136341203	scholarof_criminal_law_2
Q11508193	scholarof_japanese_literature_2
Q11363389	scholarof_chinese_literature_2
Q96604147	scholarof_scottish_literature_1
Q96186664	scholarof_korean_literature_1
Q96186661	scholarof_arabic_literature_1
Q96186660	scholarof_latin_american_literature_1
Q96186655	scholarof_spanish_literature_1
Q96186513	scholarof_american_literature_1
Q11350291	scholarof_russian_literature_1
Q11286391	scholarof_british_literature_1
Q107381512	scholarof_dance_1
Q26973007	professorof_philosophy_42
Q26973265	professorof_psychology_32
Q107555801	professorof_medicine_30
Q72271334	professorof_mathematics_28
Q53844708	professorof_physics_19
Q24256060	professorof_music_composition_17
Q55104588	professorof_economics_7
Q5133792	professorof_practice_7
Q110197838	professorof_french_literature_5
Q125751670	professorof_chemistry_4
Q111016362	professorof_surgery_3
Q86009022	professorof_engineering_1
Q7248209	professorof_greek_1
Q136456929	professorof_diplomatic_history_1
Q497240	masterof_ceremonies_74
Q390479	masterof_novices_5
Q1585575	masterof_calculations_5
Q98714302	masterof_the_works_3
Q779555	masterof_the_stewards_1
Q3851591	masterof_the_buckhounds_1
Q2903406	masterof_science_in_engineering_1
Q191701	masterof_business_administration_1
Q191578	masterof_ceremonies_1
Q1664236	masterof_requests_1
Q81708330	teacherof_literature_32
Q60102223	teacherof_the_deaf_4
Q11672679	teacherof_higher_education_2
Q7896088	universityof_pennsylvania_carey_law_school_1
Q7895699	universityof_maryland_school_of_public_policy_1
Q1638914	universityof_bangui_1
Q1633215	universityof_salerno_1
Q1045828	universityof_east_anglia_1
Q16389557	philosopherof_science_56
Q18930236	philosopherof_language_37
Q23760244	philosopherof_law_31
Q88114145	philosopherof_religion_3
Q63332180	philosopherof_medicine_2
Q101064325	philosopherof_mathematics_2
Q88193571	philosopherof_culture_1
Q88105593	philosopherof_history_1
Q106921327	philosopherof_mind_1
Q4381978	ladymargaret_s_professor_of_divinity_1
Q3054729	researchassociate_professor_in_france_1
Q708299	scholar_official_3
Q10497467	schoolteacher_in_the_swedish_school_system_19
Q109936222	socialwork_scholar_5
Q99244326	socialwork_educator_1
Q99464934	master_sstudent_1
Q3851558	master_generalof_the_ordnance_1
Q268689	jackof_all_trades_master_of_none_1
