Q40348	lawyer_50515
Q185351	jurist_7972
Q808967	barrister_3848
Q14284	solicitor_698
Q380075	advocate_457
Q1209498	poetlawyer_440
Q4594605	magistrate_613
Q16012028	legalscholar_1010
Q63677188	lawprofessor_290
Q12414919	terrorist_396
Q2159907	criminal_963
Q931260	murderer_344
Q484188	serialkiller_1265
Q10384029	drugtrafficker_588
Q12359071	anarchist_275
Q189010	notary_305
Q329455	justiceof_the_peace_730
Q16533	judge_23267
Q384593	policeofficer_3063
Q8142883	criminologist_462
Q64682634	judgeof_the_european_court_of_human_rights_2
Q30771010	judgeof_the_international_court_of_justice_1
Q1714174	judgeof_the_constitutional_court_of_italy_1
Q202471	judge_rapporteur_2
Q6302444	judge_sassociate_1
Q12313165	attorney_in_fact_4
Q3406493	attorney_generalof_spain_3
Q27148422	attorney_sclerk_2
Q117485390	assistantdistrict_attorney_of_new_york_county_2
Q5755201	highcourt_judge_7
Q107333445	highcourt_judge_5
Q108913686	highcourt_judge_1
Q5096809	chiefjustice_of_the_bahamas_1
Q5096783	chiefjustice_of_gibraltar_1
Q30325425	chiefjustice_of_the_maldives_1
Q22091852	chiefjustice_of_the_leeward_islands_1
Q16972476	chiefjustice_of_nepal_1
Q11147	chiefjustice_of_the_united_states_1
Q1109454	chiefjustice_of_hungary_1
Q93481811	commissioner_general_3
Q132551	officeof_the_united_nations_high_commissioner_for_refugees_1
Q3488528	notary_sclerk_4
Q319341	notary_sassistant_1
