Q177220	singer_51783
Q36834	composer_42912
Q639669	musician_25233
Q158852	conductor_8436
Q183945	recordproducer_11338
Q753110	songwriter_19644
Q822146	lyricist_3106
Q15981151	jazzmusician_8000
Q2865819	operasinger_7128
Q486748	pianist_10798
Q855091	guitarist_9408
Q584301	bassist_541
Q386854	drummer_2430
Q765778	organist_2241
Q13219637	cellist_906
Q1259917	violinist_2802
Q899758	violist_272
Q16003954	oboist_273
Q118865	clarinetist_598
Q12377274	trumpeter_826
Q5371902	harpsichordist_441
Q21166956	lutenist_264
Q12902372	flautist_433
Q4351403	percussionist_967
Q12800682	saxophonist_2055
Q19723482	mandolinist_311
Q1075651	keyboardist_629
Q9648008	banjoist_458
Q3560496	fiddler_501
Q6168364	jazzguitarist_1000
Q61996187	classicalpianist_264
Q24067349	classicalguitarist_471
Q21680663	classicalcomposer_303
Q1643514	musicarranger_907
Q1076502	choirdirector_910
Q806349	bandleader_1275
Q1415090	filmscore_composer_1997
Q3922505	djproducer_415
Q55960555	recordingartist_3614
Q2643890	vocalist_382
Q2252262	rapper_5566
Q1198887	musicdirector_646
Q14915627	musicologist_4245
Q1955150	musicalinstrument_maker_746
Q128124	audioengineer_1556
Q186370	troubadour_272
Q3089940	musicexecutive_644
Q3406651	radioproducer_315
Q622807	seiy_u016b_2240
Q12360214	bassguitarist_309
Q1327329	multi_instrumentalist_272
Q2340668	musicvideo_director_286
Q488205	singer_songwriter_11524
