Q82955	politician_297739
Q193391	diplomat_24093
Q372436	statesperson_1755
Q2304859	sovereign_2056
Q116	monarch_3247
Q1097498	ruler_1466
Q12097	king_549
Q121998	ambassador_362
Q2478141	aristocrat_5746
Q11573099	royalty_367
Q3242115	revolutionary_1888
Q49476	archbishop_381
Q477406	regent_275
Q30185	mayor_406
Q132050	governor_484
Q708492	councilmember_339
Q10547393	localpolitician_264
Q8125919	politicaladviser_510
Q1238570	politicalscientist_4594
Q140686	chairperson_290
Q4376769	universitypresident_267
Q4479442	founder_321
Q273108	condottiero_379
Q1409420	feudatory_745
Q1259323	traditionalleader_or_chief_491
Q17765219	colonialadministrator_504
Q600751	prosecutor_365
Q725440	prelate_261
Q212238	civilservant_8892
Q80687	secretary_490
Q5784340	consort_602
Q11986654	lobbyist_543
Q382617	mayorof_a_place_in_france_4
Q22935638	mayorof_baghdad_4
Q6627739	mayorof_tartu_1
Q65186592	mayorof_chenay_1
Q64800602	mayorof_kilkenny_1
Q594819	mayorof_the_palace_1
Q26691750	mayorof_u00c1vila_1
Q177645	mayorof_montreal_1
Q17050957	mayorof_hastings_new_zealand_1
Q14927262	mayorof_toronto_1
Q13647765	mayorof_krak_u00f3w_1
Q887010	governorof_california_1
Q61755453	governorof_nuevo_m_u00e9xico_1
Q5589715	governorof_sinaloa_1
Q5589709	governorof_san_luis_potos_u00ed_1
Q5589643	governorof_campeche_1
Q54366548	governorof_portuguese_guinea_1
Q53739360	governorof_goi_u00e1s_1
Q4151340	governorof_oryol_oblast_1
Q26186076	governorof_the_bank_of_canada_1
Q24930613	governorof_ulyanovsk_oblast_1
Q23938077	governorof_central_bank_of_malaysia_1
Q16147601	governorof_indiana_1
Q13020141	governorof_bangkok_1
Q23670153	presidentof_a_non_profit_organisation_13
Q11696	presidentof_the_united_states_3
Q466956	presidentof_chile_2
Q839139	presidentof_romania_1
Q7241366	presidentof_the_senate_of_puerto_rico_1
Q60220957	presidentof_the_geological_society_of_america_1
Q596458	presidentof_the_church_1
Q596123	presidentof_bangladesh_1
Q500282	presidentof_nigeria_1
Q3409212	presidentof_the_council_1
Q29934477	presidentof_the_supreme_court_of_spain_1
Q29001067	presidentof_fc_barcelona_1
Q28877440	presidentof_the_european_handball_federation_1
Q248577	presidentof_the_republic_1
Q23825109	presidentof_the_german_football_association_1
