<http://www.wikidata.org/entity/Q82955> 301293 "politician"@en 
<http://www.wikidata.org/entity/Q937857> 218531 "association football player"@en 
<http://www.wikidata.org/entity/Q36180> 129002 "writer"@en 
<http://www.wikidata.org/entity/Q33999> 111574 "actor"@en 
<http://www.wikidata.org/entity/Q1930187> 58635 "journalist"@en 
<http://www.wikidata.org/entity/Q177220> 54918 "singer"@en 
<http://www.wikidata.org/entity/Q40348> 51213 "lawyer"@en 
<http://www.wikidata.org/entity/Q1028181> 50422 "painter"@en 
<http://www.wikidata.org/entity/Q36834> 47129 "composer"@en 
<http://www.wikidata.org/entity/Q10800557> 46563 "film actor"@en 
<http://www.wikidata.org/entity/Q639669> 43056 "musician"@en 
<http://www.wikidata.org/entity/Q10798782> 39719 "television actor"@en 
<http://www.wikidata.org/entity/Q12299841> 38927 "cricketer"@en 
<http://www.wikidata.org/entity/Q49757> 38361 "poet"@en 
<http://www.wikidata.org/entity/Q47064> 38081 "military personnel"@en 
<http://www.wikidata.org/entity/Q2526255> 37428 "film director"@en 
<http://www.wikidata.org/entity/Q28389> 36829 "screenwriter"@en 
<http://www.wikidata.org/entity/Q43845> 36792 "businessperson"@en 
<http://www.wikidata.org/entity/Q628099> 35639 "association football coach"@en 
<http://www.wikidata.org/entity/Q10871364> 30960 "baseball player"@en 
<http://www.wikidata.org/entity/Q201788> 29256 "historian"@en 
<http://www.wikidata.org/entity/Q11513337> 28896 "athletics competitor"@en 
<http://www.wikidata.org/entity/Q3665646> 27531 "basketball player"@en 
<http://www.wikidata.org/entity/Q193391> 24536 "diplomat"@en 
<http://www.wikidata.org/entity/Q16533> 23456 "judge"@en 
<http://www.wikidata.org/entity/Q11774891> 22172 "ice hockey player"@en 
<http://www.wikidata.org/entity/Q250867> 22026 "Catholic priest"@en 
<http://www.wikidata.org/entity/Q39631> 21417 "physician"@en 
<http://www.wikidata.org/entity/Q81096> 21196 "engineer"@en 
<http://www.wikidata.org/entity/Q6625963> 20836 "novelist"@en 
<http://www.wikidata.org/entity/Q483501> 20738 "artist"@en 
<http://www.wikidata.org/entity/Q14089670> 20450 "rugby union player"@en 
<http://www.wikidata.org/entity/Q753110> 20302 "songwriter"@en 
<http://www.wikidata.org/entity/Q2259451> 19430 "stage actor"@en 
<http://www.wikidata.org/entity/Q189290> 18907 "military officer"@en 
<http://www.wikidata.org/entity/Q2309784> 18022 "sport cyclist"@en 
<http://www.wikidata.org/entity/Q3282637> 17902 "film producer"@en 
<http://www.wikidata.org/entity/Q333634> 16563 "translator"@en 
<http://www.wikidata.org/entity/Q37226> 16438 "teacher"@en 
<http://www.wikidata.org/entity/Q42973> 15970 "architect"@en 
<http://www.wikidata.org/entity/Q611644> 15792 "Catholic bishop"@en 
<http://www.wikidata.org/entity/Q33231> 15107 "photographer"@en 
<http://www.wikidata.org/entity/Q185351> 14866 "jurist"@en 
<http://www.wikidata.org/entity/Q4610556> 14422 "model"@en 
<http://www.wikidata.org/entity/Q188094> 14042 "economist"@en 
<http://www.wikidata.org/entity/Q170790> 13935 "mathematician"@en 
<http://www.wikidata.org/entity/Q4964182> 13518 "philosopher"@en 
<http://www.wikidata.org/entity/Q1281618> 13378 "sculptor"@en 
<http://www.wikidata.org/entity/Q10843402> 13340 "swimmer"@en 
<http://www.wikidata.org/entity/Q3455803> 13309 "director"@en 
<http://www.wikidata.org/entity/Q1650915> 13262 "researcher"@en 
<http://www.wikidata.org/entity/Q11338576> 12413 "boxer"@en 
<http://www.wikidata.org/entity/Q2066131> 12320 "athlete"@en 
<http://www.wikidata.org/entity/Q169470> 11801 "physicist"@en 
<http://www.wikidata.org/entity/Q488205> 11556 "singer-songwriter"@en 
<http://www.wikidata.org/entity/Q183945> 11434 "record producer"@en 
<http://www.wikidata.org/entity/Q486748> 11338 "pianist"@en 
<http://www.wikidata.org/entity/Q10833314> 11319 "tennis player"@en 
<http://www.wikidata.org/entity/Q131524> 10979 "entrepreneur"@en 
<http://www.wikidata.org/entity/Q214917> 10967 "playwright"@en 
<http://www.wikidata.org/entity/Q482980> 10436 "author"@en 
<http://www.wikidata.org/entity/Q947873> 10209 "television presenter"@en 
<http://www.wikidata.org/entity/Q3400985> 10064 "academic"@en 
<http://www.wikidata.org/entity/Q855091> 9855 "guitarist"@en 
<http://www.wikidata.org/entity/Q1234713> 9652 "theologian"@en 
<http://www.wikidata.org/entity/Q13382576> 9307 "rower"@en 
<http://www.wikidata.org/entity/Q158852> 9242 "conductor"@en 
<http://www.wikidata.org/entity/Q644687> 9097 "illustrator"@en 
<http://www.wikidata.org/entity/Q578109> 9016 "television producer"@en 
<http://www.wikidata.org/entity/Q212238> 8939 "civil servant"@en 
<http://www.wikidata.org/entity/Q2374149> 8828 "botanist"@en 
<http://www.wikidata.org/entity/Q1607826> 8510 "editor"@en 
