Q43845	businessperson_36527
Q131524	entrepreneur_9547
Q806798	banker_5563
Q215536	merchant_2582
Q1979607	financier_843
Q557880	investor_380
Q2883465	investmentbanker_337
Q4182927	stockbroker_405
Q2961975	businessexecutive_4633
Q6606110	industrialist_881
Q2516866	publisher_4605
Q2462658	manager_1921
Q1320883	talentmanager_430
Q1344174	talentagent_317
Q519076	real_estateagent_339
Q3427922	restaurateur_971
Q3499072	chef_1502
Q156839	cook_651
Q998550	bookseller_748
Q897317	winegrower_290
Q1483709	landowner_486
Q12372582	plantationowner_300
Q17769800	slavetrader_315
Q500251	ship_owner_373
Q1524582	husbandryworker_369
Q131512	farmer_5417
Q26481809	sportsexecutive_1270
Q838476	sportingdirector_297
Q15982858	motivationalspeaker_535
Q15978655	consultant_652
Q16532929	administrator_405
Q978044	executiveofficer_556
Q2994387	adviser_384
Q326653	accountant_926
Q12362622	philanthropist_2365
Q15472169	patronof_the_arts_623
Q662729	publicfigure_612
Q512314	socialite_1200
Q2906862	influencer_347
Q327029	mechanic_288
Q17487600	realestate_developer_176
Q7301138	realestate_entrepreneur_42
Q9325191	realestate_appraiser_5
Q47072988	realestate_owner_2
Q10494302	realestate_manager_2
Q12949805	realestate_negotiator_1
Q116741257	realestate_transaction_agent_1
Q11361626	realestate_consulting_master_1
Q484876	chiefexecutive_officer_1550
Q23935770	generalmanager_of_a_cycling_team_5
Q2962003	chefde_chant_7
Q5089507	chefde_cabinet_1
Q2962007	chefde_brigade_1
Q4692051	agent_general_4
Q2826745	foreman_france_1
Q2276446	domesticworker_cook_18
Q5196476	customerservice_representative_4
Q107606973	customerservice_manager_1
Q107093029	customerservice_worker_1
