QQ1622272	universityteacher_61995
QQ37226	teacher_14714
QQ121594	professor_4811
QQ974144	educator_3026
QQ1231865	educationist_3518
QQ1056391	headteacher_868
QQ182436	librarian_3939
QQ462390	docent_459
QQ1569495	lecturer_1030
QQ9379869	lecturer_628
QQ2449921	dramateacher_303
QQ2675537	musicteacher_347
QQ16145150	musiceducator_5990
QQ5758653	secondaryschool_teacher_655
QQ21281706	academicadministrator_1273
QQ48072011	businesstheorist_260
QQ15319501	socialscientist_634
QQ10333969	museologist_253
QQ635734	archivist_1072
QQ48282	student_635
QQ7019111	socialworker_1682
QQ2251335	schoolteacher_829
QQ11333691	scholarof_french_literature_21
QQ47489253	scholarof_the_bible_as_literature_7
QQ11322489	scholarof_german_literature_5
QQ16999353	scholarof_piyyut_4
QQ104421445	scholarof_native_american_studies_3
QQ136341203	scholarof_criminal_law_2
QQ11508193	scholarof_japanese_literature_2
QQ11363389	scholarof_chinese_literature_2
QQ96604147	scholarof_scottish_literature_1
QQ96186664	scholarof_korean_literature_1
QQ96186661	scholarof_arabic_literature_1
QQ96186660	scholarof_latin_american_literature_1
QQ96186655	scholarof_spanish_literature_1
QQ96186513	scholarof_american_literature_1
QQ11350291	scholarof_russian_literature_1
QQ11286391	scholarof_british_literature_1
QQ107381512	scholarof_dance_1
QQ26973007	professorof_philosophy_42
QQ26973265	professorof_psychology_32
QQ107555801	professorof_medicine_30
QQ72271334	professorof_mathematics_28
QQ53844708	professorof_physics_19
QQ24256060	professorof_music_composition_17
QQ55104588	professorof_economics_7
QQ5133792	professorof_practice_7
QQ110197838	professorof_french_literature_5
QQ125751670	professorof_chemistry_4
QQ111016362	professorof_surgery_3
QQ86009022	professorof_engineering_1
QQ7248209	professorof_greek_1
QQ136456929	professorof_diplomatic_history_1
QQ497240	masterof_ceremonies_74
QQ390479	masterof_novices_5
QQ1585575	masterof_calculations_5
QQ98714302	masterof_the_works_3
QQ779555	masterof_the_stewards_1
QQ3851591	masterof_the_buckhounds_1
QQ2903406	masterof_science_in_engineering_1
QQ191701	masterof_business_administration_1
QQ191578	masterof_ceremonies_1
QQ1664236	masterof_requests_1
QQ81708330	teacherof_literature_32
QQ60102223	teacherof_the_deaf_4
QQ11672679	teacherof_higher_education_2
QQ7896088	universityof_pennsylvania_carey_law_school_1
QQ7895699	universityof_maryland_school_of_public_policy_1
QQ1638914	universityof_bangui_1
QQ1633215	universityof_salerno_1
QQ1045828	universityof_east_anglia_1
QQ16389557	philosopherof_science_56
QQ18930236	philosopherof_language_37
QQ23760244	philosopherof_law_31
QQ88114145	philosopherof_religion_3
QQ63332180	philosopherof_medicine_2
QQ101064325	philosopherof_mathematics_2
QQ88193571	philosopherof_culture_1
QQ88105593	philosopherof_history_1
QQ106921327	philosopherof_mind_1
QQ4381978	ladymargaret_s_professor_of_divinity_1
QQ3054729	researchassociate_professor_in_france_1
QQ708299	scholar_official_3
QQ10497467	schoolteacher_in_the_swedish_school_system_19
QQ109936222	socialwork_scholar_5
QQ99244326	socialwork_educator_1
QQ99464934	master_sstudent_1
QQ3851558	master_generalof_the_ordnance_1
QQ268689	jackof_all_trades_master_of_none_1
