QQ81096	engineer_20441
QQ1326886	electricalengineer_1376
QQ13582652	civilengineer_2907
QQ1906857	mechanicalengineer_941
QQ7888586	chemicalengineer_491
QQ42973	architect_15590
QQ11295636	cardesigner_271
QQ2815948	landscapearchitect_729
QQ14623005	architecturaldraftsperson_260
QQ11486702	architecturalhistorian_260
QQ131062	urbanplanner_731
QQ5482740	programmer_903
QQ18576582	metallurgist_425
QQ18524075	miningengineer_448
QQ1734662	cartographer_1199
QQ294126	landsurveyor_544
QQ205375	inventor_4870
QQ11085831	interpreter_262
QQ3077352	computerscience_educator_3
QQ1391300	computerscience_expert_2
QQ112978310	computerscience_teacher_2
QQ28344495	computersecurity_consultant_14
QQ65952601	computersecurity_engineer_5
QQ28920101	computersecurity_specialist_4
QQ7245291	printer_sdevil_1
