Q33999	actor_105238
Q10800557	filmactor_45479
Q10798782	televisionactor_39819
Q2259451	stageactor_19378
Q2405480	voiceactor_7757
Q11481802	dubactor_866
Q970153	childactor_837
Q948329	characteractor_278
Q2526255	filmdirector_37319
Q2059704	televisiondirector_3692
Q3387717	theatredirector_4131
Q28389	screenwriter_35886
Q69423232	filmscreenwriter_2269
Q73306227	televisionwriter_697
Q3282637	filmproducer_16915
Q578109	televisionproducer_8937
Q1053574	executiveproducer_878
Q47541952	producer_1488
Q222344	cinematographer_3670
Q7042855	filmeditor_3324
Q1414443	filmmaker_1934
Q1235146	documentaryfilmmaker_800
Q11814411	documentarian_276
Q465501	stuntperformer_995
Q2962070	productiondesigner_799
Q1049296	castingdirector_298
Q1323191	costumedesigner_1076
Q2707485	scenographer_1079
Q706364	artdirector_584
Q44508716	televisionpersonality_724
Q488111	adultfilm_actor_959
Q245068	comedian_5639
Q18545066	stand_upcomedian_657
Q10774753	performanceartist_1111
Q15214752	cabaretperformer_278
Q713200	performingartist_967
Q138858	entertainer_505
Q5716684	dancer_5471
Q805221	balletdancer_1997
Q2490358	choreographer_3235
Q1440873	showrunner_306
Q2705098	tarento_921
Q1642960	pundit_338
Q3455803	director_6969
Q1162163	director_718
Q1208175	cameraoperator_373
Q935666	make_upartist_506
Q27658988	realitytelevision_participant_1330
Q60118864	realitytelevision_program_judge_24
Q21560152	specialeffects_artist_102
Q8313	specialeffects_supervisor_15
Q11570977	specialeffects_director_1
Q8311	visualeffects_supervisor_91
Q7936594	visualeffects_art_director_3
Q137196123	visualeffects_coordinator_1
Q10655118	director_generalof_the_national_archives_1
Q10655117	director_generalof_the_swedish_national_heritage_board_1
Q589298	editor_in_chief_490
Q5338722	editor_at_large_2
Q18581305	beautypageant_contestant_3633
Q108525369	beautypageant_winner_26
Q62391930	beautypageant_edition_1
