QQ40348	lawyer_50515
QQ185351	jurist_7972
QQ808967	barrister_3848
QQ14284	solicitor_698
QQ380075	advocate_457
QQ1209498	poetlawyer_440
QQ4594605	magistrate_613
QQ16012028	legalscholar_1010
QQ63677188	lawprofessor_290
QQ12414919	terrorist_396
QQ2159907	criminal_963
QQ931260	murderer_344
QQ484188	serialkiller_1265
QQ10384029	drugtrafficker_588
QQ12359071	anarchist_275
QQ189010	notary_305
QQ329455	justiceof_the_peace_730
QQ16533	judge_23267
QQ384593	policeofficer_3063
QQ8142883	criminologist_462
QQ64682634	judgeof_the_european_court_of_human_rights_2
QQ30771010	judgeof_the_international_court_of_justice_1
QQ1714174	judgeof_the_constitutional_court_of_italy_1
QQ202471	judge_rapporteur_2
QQ6302444	judge_sassociate_1
QQ12313165	attorney_in_fact_4
QQ3406493	attorney_generalof_spain_3
QQ27148422	attorney_sclerk_2
QQ117485390	assistantdistrict_attorney_of_new_york_county_2
QQ5755201	highcourt_judge_7
QQ107333445	highcourt_judge_5
QQ108913686	highcourt_judge_1
QQ5096809	chiefjustice_of_the_bahamas_1
QQ5096783	chiefjustice_of_gibraltar_1
QQ30325425	chiefjustice_of_the_maldives_1
QQ22091852	chiefjustice_of_the_leeward_islands_1
QQ16972476	chiefjustice_of_nepal_1
QQ11147	chiefjustice_of_the_united_states_1
QQ1109454	chiefjustice_of_hungary_1
QQ93481811	commissioner_general_3
QQ132551	officeof_the_united_nations_high_commissioner_for_refugees_1
QQ3488528	notary_sclerk_4
QQ319341	notary_sassistant_1
