QQ36180	writer_119730
QQ482980	author_5987
QQ6625963	novelist_19708
QQ49757	poet_37824
QQ214917	playwright_9462
QQ11774202	essayist_3297
QQ15949613	shortstory_writer_1663
QQ12144794	prosewriter_1460
QQ11774156	memoirist_541
QQ18939491	diarist_836
QQ12406482	humorist_388
QQ4263842	literarycritic_5459
QQ17167049	literaryscholar_1582
QQ13570226	literaryhistorian_1278
QQ15962340	literarytheorist_261
QQ6673651	literaryscholar_377
QQ3332711	medievalist_761
QQ8178443	librettist_1463
QQ1086863	columnist_1619
QQ11499929	manof_letters_506
QQ27431213	cookbookwriter_253
QQ10297252	crimefiction_writer_285
QQ3075052	folklorist_736
QQ14972848	lexicographer_1087
QQ15991187	grammarian_256
QQ17337766	theatrecritic_409
QQ6430706	critic_865
QQ4164507	artcritic_1218
QQ4220892	filmcritic_1185
QQ1350157	musiccritic_1302
QQ1350189	egyptologist_527
QQ1792450	arthistorian_5015
QQ17391638	arttheorist_280
QQ20198542	musichistorian_360
QQ16031530	musictheorist_567
QQ20826540	scholar_362
QQ3330547	chronicler_334
QQ860918	esperantist_521
QQ333634	translator_15184
QQ18814623	autobiographer_2362
QQ1607826	editor_7038
QQ18844224	sciencefiction_writer_3520
QQ127695489	sciencefiction_fan_17
QQ134885039	sciencefiction_scholar_3
QQ108710753	speculativefiction_writer_4
QQ47542857	speculativefiction_scholar_1
QQ108710667	speculativefiction_author_1
QQ135527453	german_u2013chinesetranslator_7
QQ135414808	german_u2013polishtranslator_6
QQ135247904	german_u2013ukrainiantranslator_3
QQ135215714	german_u2013englishtranslator_3
QQ135228907	german_u2013spanishtranslator_2
QQ135235005	german_u2013slovaktranslator_1
QQ135215996	german_u2013czechtranslator_1
QQ115042469	coachof_a_german_national_team_1
QQ1790480	translator_interpreter_8
QQ4853732	children_swriter_5981
QQ85305832	children_srights_activist_13
QQ63798374	children_sbook_illustrator_13
QQ64170610	children_sillustrator_11
QQ70380618	children_sentertainer_10
QQ8354948	children_srights_3
QQ15637585	children_u2019snurse_2
QQ21156438	children_sbook_illustration_1
QQ2059800	governessof_the_children_of_france_1
QQ11163999	children_sand_youth_literature_1
