QQ1930187	journalist_56332
QQ42909	journalist_669
QQ6051619	opinionjournalist_3460
QQ11313148	sportsjournalist_1110
QQ20669622	musicjournalist_499
QQ957729	photojournalist_1205
QQ876864	editingstaff_2092
QQ2986228	sportscommentator_1795
QQ599151	official_1924
QQ270389	newspresenter_988
QQ13590141	presenter_1978
QQ947873	televisionpresenter_10146
QQ1371925	announcer_694
QQ2722764	radiopersonality_5434
QQ130857	discjockey_3443
QQ15077007	podcaster_1250
QQ8246794	blogger_1686
QQ17125263	youtuber_1771
QQ4110598	vlogger_315
QQ2045208	internetcelebrity_303
QQ135301631	broadcaster_488
QQ17351648	newspapereditor_1316
QQ1155838	correspondent_307
QQ2296674	socialmedia_manager_13
QQ105105508	socialmedia_expert_5
QQ89345691	socialmedia_marketer_3
QQ106595127	socialmedia_specialist_1
QQ3659898	publicrelations_officer_37
QQ49176591	publicrelations_executive_36
QQ106252738	publicrelations_consultant_19
QQ123201447	publicrelations_scholar_7
