QQ39631	physician_18662
QQ211346	psychiatrist_2345
QQ212980	psychologist_5871
QQ783906	neurologist_1102
QQ3264451	cardiologist_630
QQ2447386	dermatologist_275
QQ16062369	oncologist_609
QQ12013238	ophthalmologist_746
QQ1919436	paediatrician_752
QQ2640827	gynaecologist_828
QQ13638192	obstetrician_513
QQ15924224	internist_356
QQ18245236	radiologist_325
QQ2055046	physiologist_1183
QQ10872101	anatomist_901
QQ3368718	pathologist_1053
QQ9385011	neurosurgeon_307
QQ186360	nurse_2591
QQ185196	midwife_367
QQ27349	dentist_1040
QQ202883	veterinarian_815
QQ2576499	nutritionist_318
QQ1900167	psychotherapist_540
QQ105186	pharmacist_1327
QQ2114605	pharmacologist_606
QQ15401884	medicalresearcher_278
QQ15143191	sciencecommunicator_324
QQ551835	physicianwriter_283
QQ774306	surgeon_4347
QQ12765408	epidemiologist_808
QQ12119633	immunologist_791
QQ3410028	psychoanalyst_512
QQ107736950	mentalhealth_advocate_20
QQ6817463	mentalhealth_counselor_17
QQ11996434	mentalhealth_nurse_14
QQ6817473	mentalhealth_professional_4
QQ99244479	mentalhealth_researcher_1
QQ6817461	mentalhealth_consumer_1
QQ11604684	mentalhealth_social_worker_1
QQ24017732	publichealth_scientist_52
QQ10334684	publichealth_physician_17
QQ67529900	publichealth_nurse_5
QQ1907218	surgeon_sassistant_3
QQ913404	doctorof_medicine_10
QQ752297	doctorof_philosophy_3
QQ7309666	doctorof_chinese_medicine_2
QQ5287521	doctorof_osteopathic_medicine_2
QQ959320	doctorof_laws_1
QQ17379493	doctorof_economics_1
