QQ47064	militarypersonnel_37865
QQ189290	militaryofficer_17566
QQ1402561	militaryleader_4468
QQ11545923	militarycommander_581
QQ10669499	navalofficer_2637
QQ38239859	armyofficer_485
QQ4991371	soldier_3565
QQ9352089	spy_1329
QQ618694	fighterpilot_449
QQ222982	flyingace_964
QQ2095549	aircraftpilot_4704
QQ1250916	warrior_471
QQ178197	mercenary_294
QQ164236	warcorrespondent_424
QQ201559	privateer_337
QQ10729326	pirate_339
QQ3492027	submariner_406
QQ151197	militaryengineer_321
QQ4002666	militaryphysician_805
QQ10497074	militaryflight_engineer_1388
QQ1493121	militaryhistorian_515
QQ46961	gangster_270
QQ730242	testpilot_257
QQ5121444	intelligenceofficer_316
QQ11397897	swordfighter_292
QQ3349700	officerof_the_french_navy_197
QQ89586707	officerof_the_milicja_obywatelska_27
QQ3247049	officerof_arms_15
QQ2135588	officerof_the_court_3
QQ380782	commander_in_chief_9
QQ78033145	commander_in_chiefof_the_army_of_the_state_of_los_altos_1
QQ18186340	inspectorgeneral_of_the_u00c9ducation_nationale_4
QQ72936257	inspectorgeneral_of_the_french_army_1
QQ63346424	inspectorgeneral_of_the_french_administration_1
QQ61912418	inspectorgeneral_of_the_public_instruction_1
QQ35302890	inspectorgeneral_of_the_historical_monuments_1
QQ41486906	sub_editor_3
QQ4820724	sub_inspector_1
QQ10918728	sub_lieutenant_1
QQ2611907	serjeant_at_arms_3
QQ17104090	serjeant_at_law_3
QQ7454933	serjeant_at_law_1
QQ2737172	knight_errant_1
QQ7890793	unitedstates_naval_aviator_171
QQ2094335	unitedstates_attorney_5
QQ9212	unitedstates_army_2
QQ4416090	unitedstates_senator_2
QQ178033	unitedstates_navy_seals_2
QQ11218	unitedstates_marine_corps_2
QQ934866	unitedstates_marshals_service_1
QQ7890816	unitedstates_navy_diver_1
QQ7889543	unitedstates_assistant_secretary_for_health_1
QQ587558	unitedstates_ambassador_to_kuwait_1
QQ503224	unitedstates_secret_service_1
QQ2850068	unitedstates_presidential_pet_1
QQ187954	unitedstates_border_patrol_1
QQ1837630	unitedstates_ambassador_to_angola_1
QQ1753094	unitedstates_postmaster_general_1
QQ1697506	unitedstates_marine_corps_scout_sniper_1
QQ1495140	unitedstates_shipping_board_merchant_fleet_corporation_1
QQ14213	unitedstates_secretary_of_state_1
QQ112934660	unitedstates_marine_1
QQ11220	unitedstates_navy_1
QQ11211	unitedstates_armed_forces_1
