QQ82955	politician_297739
QQ193391	diplomat_24093
QQ372436	statesperson_1755
QQ2304859	sovereign_2056
QQ116	monarch_3247
QQ1097498	ruler_1466
QQ12097	king_549
QQ121998	ambassador_362
QQ2478141	aristocrat_5746
QQ11573099	royalty_367
QQ3242115	revolutionary_1888
QQ49476	archbishop_381
QQ477406	regent_275
QQ30185	mayor_406
QQ132050	governor_484
QQ708492	councilmember_339
QQ10547393	localpolitician_264
QQ8125919	politicaladviser_510
QQ1238570	politicalscientist_4594
QQ140686	chairperson_290
QQ4376769	universitypresident_267
QQ4479442	founder_321
QQ273108	condottiero_379
QQ1409420	feudatory_745
QQ1259323	traditionalleader_or_chief_491
QQ17765219	colonialadministrator_504
QQ600751	prosecutor_365
QQ725440	prelate_261
QQ212238	civilservant_8892
QQ80687	secretary_490
QQ5784340	consort_602
QQ11986654	lobbyist_543
QQ382617	mayorof_a_place_in_france_4
QQ22935638	mayorof_baghdad_4
QQ6627739	mayorof_tartu_1
QQ65186592	mayorof_chenay_1
QQ64800602	mayorof_kilkenny_1
QQ594819	mayorof_the_palace_1
QQ26691750	mayorof_u00c1vila_1
QQ177645	mayorof_montreal_1
QQ17050957	mayorof_hastings_new_zealand_1
QQ14927262	mayorof_toronto_1
QQ13647765	mayorof_krak_u00f3w_1
QQ887010	governorof_california_1
QQ61755453	governorof_nuevo_m_u00e9xico_1
QQ5589715	governorof_sinaloa_1
QQ5589709	governorof_san_luis_potos_u00ed_1
QQ5589643	governorof_campeche_1
QQ54366548	governorof_portuguese_guinea_1
QQ53739360	governorof_goi_u00e1s_1
QQ4151340	governorof_oryol_oblast_1
QQ26186076	governorof_the_bank_of_canada_1
QQ24930613	governorof_ulyanovsk_oblast_1
QQ23938077	governorof_central_bank_of_malaysia_1
QQ16147601	governorof_indiana_1
QQ13020141	governorof_bangkok_1
QQ23670153	presidentof_a_non_profit_organisation_13
QQ11696	presidentof_the_united_states_3
QQ466956	presidentof_chile_2
QQ839139	presidentof_romania_1
QQ7241366	presidentof_the_senate_of_puerto_rico_1
QQ60220957	presidentof_the_geological_society_of_america_1
QQ596458	presidentof_the_church_1
QQ596123	presidentof_bangladesh_1
QQ500282	presidentof_nigeria_1
QQ3409212	presidentof_the_council_1
QQ29934477	presidentof_the_supreme_court_of_spain_1
QQ29001067	presidentof_fc_barcelona_1
QQ28877440	presidentof_the_european_handball_federation_1
QQ248577	presidentof_the_republic_1
QQ23825109	presidentof_the_german_football_association_1
QQ19588706	presidentof_harvard_university_1
QQ1819381	presidentof_the_czech_republic_1
QQ12969145	presidentof_argentina_1
QQ14211	primeminister_of_the_united_kingdom_4
QQ862638	primeminister_of_belize_1
QQ852152	primeminister_of_burma_1
QQ737115	primeminister_of_estonia_1
