Q250867	catholicpriest_22022
Q611644	catholicbishop_15032
Q83307	minister_5144
Q42603	priest_3881
Q152002	pastor_1267
Q831474	presbyter_1627
Q733786	monk_1349
Q191808	nun_1332
Q548320	friar_455
Q133485	rabbi_3230
Q125482	imam_354
Q3315492	clergyman_313
Q2259532	cleric_1231
Q161944	deacon_321
Q193364	vicar_300
Q1753370	curate_566
Q1104153	canon_345
Q432386	preacher_835
Q208762	chaplain_320
Q219477	missionary_3877
Q189459	ulama_645
Q1172458	muhaddith_385
Q1999841	islamicjurist_412
Q1423891	christianminister_2164
Q25393460	catholicdeacon_1094
Q96236305	lutheranpastor_673
Q98833890	catholictheologian_290
Q1234713	theologian_8847
Q1743122	churchhistorian_442
Q13424456	hymnwriter_672
Q19829980	religiousstudies_scholar_357
Q19829990	biblicalscholar_613
Q24262584	bibletranslator_628
Q15995642	religiousleader_658
Q4504549	religiousfigure_653
Q2566598	religious_398
Q854997	bhikkhu_587
Q38142	samurai_1233
Q1469535	latincatholic_priest_596
Q102039658	latincatholic_bishop_107
Q97722145	latincatholic_monk_52
Q105169902	latincatholic_deacon_3
Q19340487	easternorthodox_priest_1118
Q91187063	easternorthodox_monk_67
Q15283040	easternorthodox_bishop_30
Q101976445	easternorthodox_deacon_1
Q105200154	romancatholic_cleric_13
Q105393558	romancatholic_metropolitan_archbishop_3
Q105096667	romancatholic_archbishop_2
Q136659127	romancatholic_bishop_of_derry_1
Q135905782	romancatholic_bishop_of_ston_1
Q123678004	romancatholic_bishop_of_zacatecas_1
Q115706358	romancatholic_bishop_of_bosnia_bosna_diacovar_diakovar_1
Q115209501	romancatholic_archbishop_of_alba_iulia_1
Q19414043	anglicanbishop_of_st_asaph_3
Q458634	anglicanbishop_of_llandaff_1
Q21791459	anglicanbishop_of_st_davids_1
Q51677	highpriest_of_israel_8
Q1623966	highpriest_of_ra_1
Q1573583	highpriest_of_ptah_1
Q102388830	bishopof_the_ethiopian_orthodox_church_2
Q63385538	bishopof_the_old_catholic_church_1
Q4917824	bishopof_dorchester_1
Q22810312	bishopof_utrecht_1
Q124662724	bishopof_lesotho_1
Q4785806	archdeaconof_totnes_1
Q4785787	archdeaconof_man_1
Q4785762	archdeaconof_cornwall_1
Q16148044	archdeaconof_brecon_1
Q5246681	deanof_women_4
Q99438519	deanof_students_1
Q5246676	deanof_the_chapel_royal_1
Q5246670	deanof_wells_1
Q5246619	deanof_emly_1
Q5246598	deanof_cashel_1
Q865026	patriarchof_antioch_1
Q781123	catholicos_patriarchof_all_georgia_1
Q666261	patriarchof_all_romania_1
Q59781902	patriarchof_venice_1
Q20056508	ancientroman_senator_29
Q3409374	ancientroman_priest_27
Q63974739	ancientroman_priestess_4
Q2450226	founderof_catholic_religious_community_12
Q124536317	memberof_roman_catholic_religious_orders_and_societies_7
