QQ901	scientist_6913
QQ169470	physicist_11116
QQ593644	chemist_7891
QQ170790	mathematician_13344
QQ82594	computerscientist_6311
QQ11063	astronomer_4746
QQ752129	astrophysicist_1167
QQ16742096	nuclearphysicist_862
QQ19350898	theoreticalphysicist_683
QQ864503	biologist_5222
QQ2374149	botanist_8646
QQ350979	zoologist_4338
QQ1225716	ornithologist_2017
QQ3055126	entomologist_3209
QQ497294	lepidopterist_487
QQ2487799	mycologist_951
QQ4205432	ichthyologist_682
QQ16271261	malacologist_466
QQ16271064	herpetologist_833
QQ3640160	marinebiologist_495
QQ3779582	microbiologist_976
QQ15816836	bacteriologist_266
QQ15634281	virologist_511
QQ3126128	geneticist_1580
QQ15839206	molecularbiologist_547
QQ2919046	biochemist_2324
QQ14906342	biophysicist_456
QQ6337803	neuroscientist_1588
QQ520549	geologist_3634
QQ901402	geographer_2282
QQ12094958	geophysicist_546
QQ2732142	statistician_2126
QQ1650915	researcher_13120
QQ3400985	academic_10064
QQ188094	economist_13374
QQ2306091	sociologist_4991
QQ4773904	anthropologist_5767
QQ1662561	palaeontologist_1690
QQ3621491	archaeologist_5187
QQ15983985	classicalarchaeologist_357
QQ17488316	prehistorian_340
QQ1371378	ethnologist_670
QQ12347522	ethnographer_511
QQ17484288	ethnomusicologist_288
QQ4964182	philosopher_12486
QQ15442776	cryptographer_307
QQ2468727	classicalscholar_1197
QQ16267607	classicalphilologist_1338
QQ13418253	philologist_2371
QQ14467526	linguist_7950
QQ1731155	orientalist_1024
QQ3155377	islamicist_267
QQ18524037	indologist_343
QQ2599593	germanist_430
QQ2504617	romanist_532
QQ15255771	sinologist_422
QQ16308156	anglicist_495
QQ98544732	scientificcollector_2988
QQ19507792	scientificillustrator_613
QQ2083925	botanicalcollector_3522
QQ109120509	zoologicalcollector_347
QQ1781198	agronomist_811
QQ18805	naturalist_2351
QQ15976092	artificialintelligence_researcher_415
QQ1113838	climatologist_516
QQ15839134	ecologist_1289
QQ3546255	oceanographer_433
QQ2310145	meteorologist_954
QQ201788	historian_26967
QQ11631	astronaut_862
QQ3140857	horticulturist_714
QQ13416354	mineralogist_569
QQ29956970	discovererof_asteroids_43
QQ108666071	discovererof_comets_3
QQ96203465	discovererof_astronomical_objects_1
QQ96203320	discovererof_minor_planets_1
QQ17489339	historianof_modern_age_418
QQ17486330	historianof_mathematics_275
QQ16063546	historianof_science_267
QQ20873384	historianof_classical_antiquity_167
QQ17488357	historianof_religion_150
QQ17486338	historianof_technology_31
QQ17504989	historianof_eastern_europe_27
QQ11491523	historianof_ideas_25
QQ17488392	historianof_cartography_17
QQ42330144	historianof_the_holocaust_16
QQ17505002	historianof_student_10
QQ105422339	historianof_urban_planning_4
QQ61746693	historianof_pedagogy_3
QQ53554997	historianof_chemistry_3
QQ108575657	historianof_astronomy_3
QQ104042305	historianof_science_and_technology_3
QQ96102679	historianof_political_thought_2
QQ88209559	historianof_physics_2
QQ107456356	historianof_education_2
QQ63650936	historianof_biology_1
QQ45176736	historianof_women_1
QQ43389498	historianof_the_french_revolution_1
QQ117406565	historianof_freemasonry_1
QQ112367368	historianof_psychiatry_1
QQ112132086	historianof_psychology_1
QQ111508720	historianof_printing_1
QQ107737256	historianof_archaeology_1
QQ2395219	historyof_the_russian_orthodox_church_1
QQ2297554	historyof_feminism_1
QQ201486	historyof_science_1
QQ161414	historyof_russia_1
