subject	total_documents	unique_qids	qids_with_wikipedia	documents_with_2_plus_paragraphs	total_paragraphs	avg_paragraphs_per_document	documents_with_links	total_links	unique_linked_qids	avg_links_per_document	avg_text_length_chars	avg_links_per_paragraph	avg_links_per_1000_chars
__overall__	6128847	5444953	6128847	1983958	9739109	1.59	3030892	5772352	245443	0.94	444	0.59	2.12
__category__class	3521671	3420990	3521671	1172223	5481494	1.56	1993334	3863820	211944	1.1	426	0.7	2.57
__category__core	104367	104367	104367	57692	220423	2.11	44219	93939	24859	0.9	810	0.43	1.11
__category__occupation	2502809	1924850	2502809	754043	4037192	1.61	993339	1814593	97215	0.73	454	0.45	1.6
class/aircraft	26698	26698	26698	9783	42767	1.6	16883	31530	7056	1.18	447	0.74	2.64
class/astronomy	12511	12511	12511	7284	24383	1.95	6887	11057	1700	0.88	660	0.45	1.34
class/building	148421	148421	148421	66613	267284	1.8	87303	161942	26541	1.09	563	0.61	1.94
class/character	13518	13518	13518	6257	23779	1.76	7259	17599	4480	1.3	718	0.74	1.81
class/city	59148	59148	59148	23380	101331	1.71	40655	84529	16640	1.43	423	0.83	3.38
class/comic	7842	7842	7842	2938	12610	1.61	2957	4494	1240	0.57	467	0.36	1.23
class/commune	50843	50843	50843	10237	65119	1.28	49965	119377	9134	2.35	188	1.83	12.51
class/community	149343	149343	149343	38391	214490	1.44	102980	188062	26979	1.26	296	0.88	4.26
class/cultural	40060	40060	40060	17605	70139	1.75	20246	40135	8506	1.0	561	0.57	1.79
class/district	62791	62791	62791	23164	99355	1.58	34062	59309	11635	0.94	396	0.6	2.38
class/election	31808	31808	31808	11944	50815	1.6	9113	11932	1846	0.38	441	0.23	0.85
class/film	177929	177929	177929	59538	263619	1.48	59820	98741	13260	0.55	430	0.37	1.29
class/geography	38349	38349	38349	16562	69929	1.82	29101	70014	16116	1.83	607	1.0	3.01
class/group	18561	18561	18561	10646	37266	2.01	10152	29645	8418	1.6	639	0.8	2.5
class/historic	35361	35361	35361	16207	65966	1.87	23207	59214	14850	1.67	702	0.9	2.39
class/language	11299	11299	11299	4714	19160	1.7	7967	18960	5090	1.68	498	0.99	3.37
class/literary	91552	91552	91552	35304	150298	1.64	31471	56684	11538	0.62	530	0.38	1.17
class/media	68333	68333	68333	28810	120497	1.76	33430	60689	13783	0.89	520	0.5	1.71
class/military	81030	81030	81030	28209	134358	1.66	39534	81032	15177	1.0	595	0.6	1.68
class/mountain	34463	34463	34463	11836	53838	1.56	25802	57323	11525	1.66	453	1.06	3.68
class/municipality	46244	46244	46244	12187	65209	1.41	38618	79249	8700	1.71	242	1.22	7.1
class/music	314069	314069	314069	112407	502815	1.6	120840	197675	22799	0.63	510	0.39	1.23
class/name	88634	88634	88634	10583	103734	1.17	12965	26569	8621	0.3	122	0.26	2.45
class/olympic	30164	30164	30164	7989	41860	1.39	19906	37316	1005	1.24	352	0.89	3.51
class/organization	133299	133299	133299	60937	249069	1.87	74961	161400	25268	1.21	594	0.65	2.04
class/other	20664	20664	20664	8999	37311	1.81	8630	16823	6424	0.81	638	0.45	1.28
class/political	66447	66447	66447	28472	120164	1.81	32053	62326	9019	0.94	622	0.52	1.51
class/railway	78775	78775	78775	24427	119247	1.51	49067	94757	17311	1.2	405	0.79	2.97
class/recurring	56931	56931	56931	14287	82165	1.44	27978	45602	6589	0.8	341	0.56	2.35
class/religion	41868	41868	41868	15443	69756	1.67	31356	68022	15317	1.62	498	0.98	3.26
class/school	60451	60451	60451	24368	102443	1.69	33124	59474	10531	0.98	506	0.58	1.94
class/science	563648	563648	563648	128170	756403	1.34	449776	958020	53458	1.7	296	1.27	5.74
class/soccer	57023	57023	57023	16445	83115	1.46	26713	41847	8940	0.73	378	0.5	1.94
class/sports	293813	293813	293813	114981	475516	1.62	106913	167159	10416	0.57	445	0.35	1.28
class/technology	22519	22519	22519	11246	44830	1.99	13697	27561	5651	1.22	617	0.61	1.98
class/television	97740	97740	97740	46437	175255	1.79	50267	84554	11525	0.87	597	0.48	1.45
class/town	40457	40457	40457	11619	59282	1.47	23008	42178	8738	1.04	299	0.71	3.49
class/transport	43222	43222	43222	15777	69571	1.61	30278	64170	13063	1.48	510	0.92	2.91
class/video	37268	37268	37268	14286	59484	1.6	21822	39245	5044	1.05	576	0.66	1.83
class/village	194667	194667	194667	33306	250604	1.29	133313	224974	22401	1.16	240	0.9	4.82
class/water	73908	73908	73908	30435	126658	1.71	49255	102631	24022	1.39	426	0.81	3.26
core	104367	104367	104367	57692	220423	2.11	44219	93939	24859	0.9	810	0.43	1.11
occupation/activism	33006	33006	33006	10918	56772	1.72	15494	30840	7977	0.93	559	0.54	1.67
occupation/arts	116350	116350	116350	31989	183990	1.58	55631	111150	17755	0.96	453	0.6	2.11
occupation/business	83421	83421	83421	27112	140902	1.69	37419	67116	15942	0.8	510	0.48	1.58
occupation/education	109889	109889	109889	33489	179873	1.64	46239	87826	16253	0.8	509	0.49	1.57
occupation/engineering	47595	47595	47595	15234	81170	1.71	22173	43699	11475	0.92	519	0.54	1.77
occupation/film	184926	184926	184926	49884	282239	1.53	70208	120970	21014	0.65	418	0.43	1.56
occupation/genealogy	6320	6320	6320	1796	10028	1.59	2593	5121	2361	0.81	470	0.51	1.72
occupation/law	81829	81829	81829	25710	138516	1.69	33050	55595	9697	0.68	511	0.4	1.33
occupation/literature	184258	184258	184258	56733	302991	1.64	82813	164631	26278	0.89	497	0.54	1.8
occupation/media	87335	87335	87335	28011	148219	1.7	40791	77196	15376	0.88	505	0.52	1.75
occupation/medicine	44814	44814	44814	14469	75870	1.69	18789	35734	8775	0.8	533	0.47	1.5
occupation/military	75513	75513	75513	22588	123468	1.64	31785	65953	13731	0.87	539	0.53	1.62
occupation/misc	32049	32049	32049	9604	51221	1.6	15063	29973	8914	0.94	495	0.59	1.89
occupation/music	146262	146262	146262	44496	243332	1.66	62586	116719	21568	0.8	492	0.48	1.62
occupation/other	1553	1553	1553	552	2669	1.72	679	1233	765	0.79	551	0.46	1.44
occupation/politics	349533	349533	349533	119334	597533	1.71	155829	277905	33600	0.8	493	0.47	1.61
occupation/religion	63371	63371	63371	20756	104844	1.65	34114	77341	14782	1.22	475	0.74	2.57
occupation/science	173008	173008	173008	54555	286432	1.66	75371	152257	26386	0.88	525	0.53	1.68
occupation/sports	681777	681777	681777	186813	1027123	1.51	192712	293334	19829	0.43	350	0.29	1.23
